City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,kapsabet,0.2039,35.105,56.82,98,100,1.41,KE,1682869048
300,shimabara,32.7833,130.3667,56.89,68,46,3.31,JP,1682869049
301,ciudad lazaro cardenas,17.9583,-102.2,81.52,57,6,4.81,MX,1682869050
302,boysun,38.2061,67.1986,67.06,28,91,7.85,UZ,1682869051
303,gizo,-8.103,156.8419,82.99,77,100,7.31,SB,1682869052
304,hasaki,35.7333,140.8333,62.22,71,100,20.29,JP,1682869054
305,flying fish cove,-10.4217,105.6791,80.2,78,100,1.7,CX,1682869055
306,caleta de carquin,-11.0925,-77.6267,76.73,76,66,10.92,PE,1682869056
307,edson,53.5835,-116.4356,50.14,46,0,2.3,CA,1682869057
308,inhambane,-23.865,35.3833,73.94,80,15,9.75,MZ,1682869059
309,lajere,11.9797,11.4443,102.85,13,99,9.17,NG,1682869060
310,arua,3.0201,30.9111,66.11,91,100,5.5,UG,1682869062
311,bruchhausen-vilsen,52.8333,9.0,60.03,61,32,4.85,DE,1682869063
312,mabaruma,8.2,-59.7833,86.0,70,40,9.22,GY,1682869064
313,chulakkurgan,43.765,69.1814,71.89,19,5,9.26,KZ,1682869066
314,grimstad,58.3405,8.5934,54.23,51,92,13.53,NO,1682869067
315,juneau,58.3019,-134.4197,49.1,97,100,0.0,US,1682868907
316,manokwari,-0.8667,134.0833,79.39,82,100,4.03,ID,1682868959
317,kratie,12.4881,106.0188,80.74,75,100,5.91,KH,1682869071
318,sanctuary point,-35.1114,150.629,55.74,89,35,6.4,AU,1682869072
319,bayganin,48.6947,55.8742,68.77,36,12,11.5,KZ,1682869073
320,arraial do cabo,-22.9661,-42.0278,78.66,69,40,14.97,BR,1682869074
321,psachna,38.5833,23.6333,71.24,64,24,6.31,GR,1682869076
322,st. john's,47.5649,-52.7093,41.79,83,100,23.02,CA,1682869011
323,volchansk,59.9378,60.081,30.33,99,100,4.34,RU,1682869080
324,willard,41.0531,-82.7263,49.86,72,100,13.89,US,1682869081
325,weinan,34.5036,109.5089,60.64,30,0,2.68,CN,1682869082
326,nogliki,51.8333,143.1667,27.81,96,100,16.37,RU,1682869084
327,tual,-5.6667,132.75,82.38,78,97,12.82,ID,1682869086
328,cidreira,-30.1811,-50.2056,75.27,59,0,9.48,BR,1682869087
